ID,Level 1,Level 2 ,Level 3,Clarification information
181000,"Works - Construction, Repair & Maintenance",Buildings,Demolition & Asbestos Removal,Services
391111,"Works - Construction, Repair & Maintenance",Buildings,Repair & Maintenance,Services
391114,"Works - Construction, Repair & Maintenance",Buildings,Surveys,Services
391199,"Works - Construction, Repair & Maintenance",Buildings,Not Elsewhere Classified,Services
391500,"Works - Construction, Repair & Maintenance",Consultancy,,Services
391200,"Works - Construction, Repair & Maintenance",Engineering,,Services
391600,"Works - Construction, Repair & Maintenance",Manufacturing Services,,Services
391610,"Works - Construction, Repair & Maintenance",Manufacturing Services,Heavy Industry,Services
391620,"Works - Construction, Repair & Maintenance",Manufacturing Services,Small Scale Fabrication,"Services, including 3D printing"
391699,"Works - Construction, Repair & Maintenance",Manufacturing Services,Not Elsewhere Classified,Services
391300,"Works - Construction, Repair & Maintenance",Open Spaces,,"Services, includes grounds, etc."
391310,"Works - Construction, Repair & Maintenance",Open Spaces,Construction,"Services, includes grounds, etc."
391311,"Works - Construction, Repair & Maintenance",Open Spaces,Repair & Maintenance,"Services, includes grounds, etc."
391314,"Works - Construction, Repair & Maintenance",Open Spaces,Surveys,"Services, includes grounds, etc."
391399,"Works - Construction, Repair & Maintenance",Open Spaces,Not Elsewhere Classified,"Services, includes grounds, etc."
391700,"Works - Construction, Repair & Maintenance",Raw Materials,,"Products / services, including mining, forestry etc."
391400,"Works - Construction, Repair & Maintenance",Roads,,Services
391410,"Works - Construction, Repair & Maintenance",Roads,Construction,Services
391420,"Works - Construction, Repair & Maintenance",Roads,Design,Services
391430,"Works - Construction, Repair & Maintenance",Roads,Drainage,Services
391440,"Works - Construction, Repair & Maintenance",Roads,Emergency,Services
391450,"Works - Construction, Repair & Maintenance",Roads,Guard Rails & Signs,Services
391460,"Works - Construction, Repair & Maintenance",Roads,Proprietary Surfacing,"Services, includes surface dressing, anti-skid, etc."
391465,"Works - Construction, Repair & Maintenance",Roads,Reconstruction & Resurfacing,Services
391411,"Works - Construction, Repair & Maintenance",Roads,Repair & Maintenance,Services
391470,"Works - Construction, Repair & Maintenance",Roads,Road Markings,Services
231810,"Works - Construction, Repair & Maintenance",Roads,Surveys,Services
391499,"Works - Construction, Repair & Maintenance",Roads,Not Elsewhere Classified,Services
399999,"Works - Construction, Repair & Maintenance",Not Elsewhere Classified,,Services
